compound_id	category	collection	local_i	main_i	main_d	propensity	availability	purity	logP	logD	logSw	pka_ma	color	stereo	state	cas	chembl_similars	n_similars
603_1280	selected	DC	0.3328	0.2055	0.5909	0.2549	11	90%	4.2085	4.2084	-4.8755	14	ORANGE	ACHIRAL	Solid	NA	CHEMBL1526864	1
769_1813	selected	DC	0.6067	0.3465	0.4137	0.5135	1	90%	4.2018	4.2017	-4.3076	23.9638	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1082791, CHEMBL1083739	2
302_1840	selected	DC	0.3633	0.2393	0.2452	0.3779	1	90%	4.1802	3.9233	-4.2304	7.4941	NOT COLORED	ACHIRAL	Solid	NA	0	0
711_2000	selected	DC	0.4251	0.216	0.3726	0.243	20	90%	4.1181	4.1177	-4.1059	24.042	YELLOW	ACHIRAL	Solid	NA	CHEMBL1508646, CHEMBL1083103	2
34_1106	selected	DC	0.2971	0.2103	0.5239	0.2493	36	90%	4.1151	4.115	-4.4098	28.3737	VIOLET	ACHIRAL	Solid	NA	0	0
780_1271	selected	DC	0.7174	0.2785	0.4086	0.4412	6	90%	4.0984	4.0983	-4.3365	23.9638	YELLOW	ACHIRAL	Solid	NA	CHEMBL1082791	1
637_1672	selected	DC	0.5794	0.2034	0.3236	0.2686	6	90%	4.0668	4.0666	-4.2198	23.9638	YELLOW	ACHIRAL	Solid	NA	0	0
923_1203	selected	DC	0.5337	0.6799	0.4483	0.5201	131	90%	4.0577	3.5504	-4.5284	7.0545	ORANGE	ACHIRAL	Solid	NA	0	0
142_1792	selected	DC	0.598	0.2727	0.3983	0.356	1	90%	4.0555	4.0554	-4.24	23.9638	NOT COLORED	ACHIRAL	Solid	NA	0	0
81_1569	selected	DC	0.4199	0.2079	0.2707	0.2613	22	90%	4.0493	4.0299	-3.9727	12.14	NOT COLORED	RACEMIC MIXTURE	Solid	NA	0	0
836_1753	selected	DC	0.5547	0.2073	0.2845	0.2527	104	90%	4.0441	4.0406	-4.0322	12.2282	NOT COLORED	RACEMIC MIXTURE	Solid	NA	CHEMBL1565896	1
772_1728	selected	DC	0.2766	0.3882	0.3051	0.3069	390	90%	4.035	4.0083	-4.5378	8.5977	NOT COLORED	ACHIRAL	Solid	NA	0	0
488_1958	selected	DC	0.4418	0.2208	0.7557	0.3773	8	90%	4.0334	4.0334	-4.8293	14	BROWN	ACHIRAL	Solid	NA	0	0
61_1001	selected	DC	0.5216	0.2155	0.2845	0.2664	20	90%	4.0265	4.0072	-3.9762	12.1462	NOT COLORED	RACEMIC MIXTURE	Solid	NA	0	0
211_1031	selected	DC	0.5955	0.2199	0.764	0.3814	17	90%	3.9943	3.9943	-4.5697	14	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1329874	1
837_1038	selected	DC	0.4384	0.2369	0.6068	0.2919	24	90%	3.9767	3.9766	-4.3361	24.7178	ORANGE	ACHIRAL	Solid	NA	0	0
349_1202	selected	DC	0.5794	0.2055	0.2743	0.2709	20	90%	3.9409	3.9215	-3.83	11.404	YELLOW	RACEMIC MIXTURE	Solid	NA	CHEMBL1543444	1
922_1099	selected	DC	0.4802	0.7907	0.2542	0.2053	2	90%	3.9168	3.9168	-3.734	12.4381	NOT COLORED	ACHIRAL	Solid	NA	0	0
911_1295	selected	DC	0.5129	0.2198	0.2975	0.2778	20	90%	3.9022	3.8828	-3.9198	12.2282	NOT COLORED	RACEMIC MIXTURE	Solid	NA	CHEMBL1484770	1
637_1641	selected	DC	0.4477	0.3137	0.5244	0.4354	1	90%	3.899	3.432	-4.395	23.55	ORANGE	ACHIRAL	Solid	NA	CHEMBL1569715, CHEMBL1324860, CHEMBL2236273, CHEMBL1191986, CHEMBL543160	5
628_1527	selected	DC	0.2082	0.4089	0.3829	0.3214	291	90%	3.8954	3.8687	-4.2909	8.5977	YELLOW	ACHIRAL	Solid	NA	0	0
164_1836	selected	DC	0.3284	0.2191	0.608	0.2838	1	90%	3.8725	3.8725	-4.1959	23.8523	YELLOW	ACHIRAL	Solid	NA	CHEMBL1386715, CHEMBL3637800	2
810_1772	selected	DC	0.5686	0.2064	0.3062	0.2266	18	90%	3.8555	3.8362	-3.9922	13.7009	NOT COLORED	RACEMIC MIXTURE	Solid	NA	CHEMBL1484770	1
555_1578	selected	DC	0.6427	0.2359	0.3471	0.2893	91	90%	3.8233	3.8198	-3.8618	14.0251	NOT COLORED	RACEMIC MIXTURE	Solid	NA	CHEMBL1565896	1
964_1651	selected	DC	0.4151	0.2207	0.3986	0.2579	15	90%	3.7917	3.7829	-3.7951	13.9678	NOT COLORED	ACHIRAL	Solid	NA	0	0
509_1586	selected	DC	0.4208	0.2261	0.2043	0.3086	13	90%	3.7902	3.7876	-3.9918	9.68	NOT COLORED	ACHIRAL	Solid	NA	0	0
732_1953	selected	DC	0.4273	0.2321	0.2436	0.287	3	90%	3.7897	3.7892	-3.8721	10.9235	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL4922226	1
189_1556	selected	DC	0.2653	0.2031	0.3642	0.2345	15	90%	3.7526	3.7437	-3.8026	14.0852	NOT COLORED	ACHIRAL	Solid	NA	0	0
